version,commitId,file,addedLines,removedLines,nbCommits,nbCommitsPreviousSolveBug,nbCommitsPreviousEdited,nbDevelopers,nbDevelopersPrevious,averageTimeBetweenEdits,averageTimeBetweenEditsPrevious,averageExpertiseDeveloper,minimumExpertiseDeveloper,nbCommitsCommentEdited,nbCommitsNoCommentEdited,bugStatus
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestHiveAccumuloHelper.java,0,0,0,0,2,0,2,,7873724.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestLazyAccumuloMap.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestLazyAccumuloRow.java,0,0,0,0,2,0,2,,15288788.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestColumnEncoding.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestColumnMapper.java,0,0,0,0,2,0,2,,4304453.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestColumnMappingFactory.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestHiveAccumuloColumnMapping.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestHiveRowIdColumnMapping.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTableInputFormat.java,0,0,0,0,3,0,2,,12695283.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTableOutputFormat.java,0,0,0,0,4,0,3,,11088096.666666666,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTypes.java,1,1,1,0,2,1,2,,53283350.0,1.0,1,0,1,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/TestAccumuloPredicateHandler.java,0,0,0,0,4,0,4,,13704519.666666666,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/TestAccumuloRangeGenerator.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/TestPrimitiveComparisonFilter.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/compare/TestDoubleCompare.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/compare/TestIntCompare.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/compare/TestLongComparison.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/compare/TestStringCompare.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/DelimitedAccumuloRowIdFactory.java,0,0,0,0,2,0,2,,37558326.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/FirstCharAccumuloCompositeRowId.java,0,0,0,0,4,0,4,,12519442.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestAccumuloRowSerializer.java,0,0,0,0,2,0,2,,15288788.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestAccumuloSerDe.java,0,0,0,0,4,0,4,,12519442.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestAccumuloSerDeParameters.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestDefaultAccumuloRowIdFactory.java,0,0,0,0,2,0,2,,15288788.0,0,0,0,0,0
