Version,CommitId,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SingleInputFormat.java",6,0,6,0,1,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,51,5,25,19,4,21,,14,17,14,4,,1,,0,,,"0,84",2,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SizeBasedBigTableSelectorForAutoSMJ.java",11,1,10,0,3,,,,,1,0,0,4,,4,4,0,4,,0,1,3,0,,86,10,54,22,26,22,,26,39,22,22,,5,,2,,,"0,41",11,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SkeletonHBaseTest.java",7,0,5,1,1,,,,,2,3,5,20,,20,17,7,20,,0,0,2,18,,237,37,142,61,65,58,,76,108,60,55,,3,,3,,,"0,41",29,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SkewJoinHandler.java",19,1,17,1,4,,,,,1,0,1,12,,12,12,17,12,,1,5,0,6,,344,42,249,102,159,53,,157,200,100,128,,8,,5,,,"0,21",42,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SkewJoinOptimizer.java",24,2,17,5,4,,,,,3,3,1,25,,25,22,4,25,,0,15,0,10,,727,90,479,195,266,158,,244,347,169,225,,20,,6,,,"0,33",88,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SkewJoinProcFactory.java",5,0,5,0,1,,,,,3,2,0,5,,5,3,0,5,,0,1,0,4,,79,9,41,25,11,29,,21,30,23,9,,2,,1,,,"0,71",6,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SkewJoinResolver.java",7,1,6,0,1,,,,,3,0,0,10,,10,10,3,10,,0,0,0,10,,142,21,90,52,34,31,,51,66,46,28,,3,,1,,,"0,34",12,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SkewedColumnPositionPair.java",5,0,3,2,1,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,76,7,22,10,6,47,,9,16,10,6,,1,,0,,,"2,14",6,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SkewedInfo.java",12,0,11,0,3,,,,,6,3,7,56,,54,53,8,56,,1,2,0,53,,834,93,714,166,390,36,,331,494,171,361,,14,,5,,,"0,05",159,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SkippableTProtocol.java",0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,29,3,5,4,0,21,,3,4,4,0,,0,,0,,,"4,20",0,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SmallTableCache.java",12,0,10,1,3,,,,,1,3,3,3,,3,0,0,3,,0,0,0,3,,73,7,45,18,19,21,,20,33,18,19,,6,,4,,,"0,47",10,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SnappyCodec.java",14,0,14,1,2,,,,,1,0,1,5,,5,5,1,5,,0,0,0,5,,108,10,78,31,44,21,,34,46,21,33,,4,,3,,,"0,27",11,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SortAndDigestPrintStream.java",7,0,7,0,2,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,46,8,21,10,8,17,,12,16,9,8,,2,,1,,,"0,81",3,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SortBucketJoinProcCtx.java",3,0,3,0,1,,,,,1,0,0,7,,7,7,3,7,,0,0,0,7,,59,11,31,16,7,17,,15,23,16,7,,1,,0,,,"0,55",7,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SortByShuffler.java",15,1,13,2,2,,,,,4,0,1,8,,8,8,3,8,,0,0,0,8,,129,16,85,32,44,28,,39,54,30,28,,4,,2,,,"0,33",13,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SortMergeJoinResolver.java",15,3,9,3,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,57,6,18,13,6,33,,13,15,12,6,,1,,0,,,"1,83",1,,,,,,,,,,,0,0,"0,00","0,00"
