Version,CommitId,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestCliDriverMethods.java",16,2,13,1,2,,,,,5,3,0,22,,22,19,5,22,,0,4,1,17,,462,73,344,127,223,47,,221,267,119,191,,8,,3,,,"0,14",45,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestCliSessionState.java",9,0,6,3,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,41,4,14,9,3,23,,8,10,8,2,,1,,0,,,"1,64",1,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestColumn.java",19,3,15,1,2,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,131,22,86,30,56,23,,57,68,28,49,,4,,2,,,"0,27",8,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestColumnProjectionUtils.java",19,1,16,3,1,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,117,14,76,25,48,27,,62,67,21,48,,1,,0,,,"0,36",4,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestColumnStatistics.java",27,1,23,2,2,,,,,2,1,0,10,,10,9,7,10,,1,1,0,8,,352,35,278,113,197,39,,231,254,109,187,,9,,1,,,"0,14",20,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestColumnStatisticsImpl.java",16,2,14,0,1,,,,,1,0,0,2,,2,2,0,2,,0,1,0,1,,64,10,37,16,22,17,,30,33,15,22,,1,,0,,,"0,46",2,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestCommands.java",50,11,37,2,2,,,,,1,3,5,10,,10,7,0,10,,0,1,0,9,,590,133,420,206,334,37,,350,369,188,279,,3,,1,,,"0,09",18,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestCompactionTxnHandler.java",25,2,22,0,2,,,,,1,0,0,15,,15,15,2,15,,0,1,0,14,,455,56,374,131,286,25,,308,342,120,278,,5,,2,,,"0,07",29,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestConvertAstToSearchArg.java",134,3,130,2,1,,,,,1,2,0,21,,21,19,0,21,,0,3,0,18,,2883,90,2743,201,2614,70,,362,390,130,323,,4,,2,,,"0,03",25,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestDBTokenStore.java",57,4,52,1,2,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,95,10,67,26,49,18,,51,54,23,39,,2,,1,,,"0,27",2,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestDataReaderProperties.java",9,0,9,0,1,,,,,1,0,0,5,,5,5,3,5,,0,0,0,5,,69,10,59,28,32,0,,26,32,21,15,,1,,0,,,"0,00",5,,,,,,,,,,,0,0,"0,00","0,00"
